Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.04359
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.07506
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.51435
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.45159
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,11.81373
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.80785
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2019,12.82773
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,15.0
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,15.0
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,0.03742
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,9.23077
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,9.23077
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,9.23077
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,19.84953
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,20.24088
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,21.84514
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,21.8001
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,22.80102
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,22.80102
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,22.80102
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,10.42437
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,9.41386
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,8.60274
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,8.75025
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,8.55223
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,9.12511
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,None,PT,2025-03-26T00:00:00,2019,9.22322
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.10357
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.03221
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.26913
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.79577
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,9.98612
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.04908
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.05063
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,29.86396
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,27.61857
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,27.57238
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,26.61378
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,22.89768
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,22.89768
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,22.89768
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,10.33022
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,9.14194
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,7.88984
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,7.93436
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,7.76397
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,8.4912
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_IND,PT,2025-03-26T00:00:00,2019,8.61818
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,15.0
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,5.0
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,0.00261
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,0.0
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,0.0
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_OIL,PT,2025-03-26T00:00:00,2019,0.0
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,16.93892
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,14.56906
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,16.67632
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,16.77981
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,18.8953
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,18.8953
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMPS,12,AGG_TXT,PT,2025-03-26T00:00:00,2019,18.8953
